title,description,category,organization,recurrence,start_date,end_date,region,zip_code,owner
Street Vendor Project - Join Our Monthly Outreach Team!,"Share information with NYC's street vendors about their rights and responsibilities. Get to know another dimension the city,",Strengthening Communities,Street Vendor Project,ongoing,June 4 2022,June 5 2022,MANHATTAN,13096,testadmin
Finance Assistant,"ARTs East New York is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Strengthening Communities,ARTs East New York Inc.,ongoing,February 28 2022,February 10 2023,BROOKLYN,17214,testadmin
Design Education Volunteer Opportunities,"Volunteering at the Center for Architecture Foundation is a great way to contribute to the community, learn new skills, and have fun! We have volunteer opportunities to suit every interest.",Strengthening Communities,Center for Architecture Foundation,ongoing,January 6 2022,January 6 2023,MANHATTAN,12075,testadmin
Street Games in Harlem's Thomas Jefferson Park,"Street Games is an event that brings thousands of kids and adults alike out to learn (or relive) some of the classic street games from the 60’s and 70’s and reintroduce them to a new generation with a modern twist! Held in Thomas Jefferson Park on Saturday, May 7th from 11:00 a.m. to 3:00 p.m.",Health,New York City Department of Parks & Recreation,onetime,May 7 2022,May 7 2022,MANHATTAN,10090,testadmin
Volunteer at an Art Gallery Dedication,"This dedication is of the Nottage Community Art Gallery for Ruby Nottage, the mother of famed playwright, Lynn Nottage.",Strengthening Communities,YWCA of Brooklyn,onetime,March 25 2022,March 25 2022,BROOKLYN,17619,testadmin
Social Media Campaign for Professionals,"A social media campaign is a focused marketing push toward an organization's goal, whether it's boosting attendance at an event, fundraising for a specific project, or spreading awareness about a program or issue.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Get the tools to volunteer for Recycling!,Recycling in the city has declined and we need YOU to help get NYC recycling again! Volunteers will work with OROE's borough-wide coordinators to teach New Yorkers to recycle more and waste less.,Strengthening Communities,Office of Recycling Outreach and Education,onetime,March 15 2022,March 15 2022,MANHATTAN,11728,testadmin
Winter Literacy Night!,Take part in a fun night of reading and creating crafts with children!,Education,Jumpstart for Young Children,onetime,February 17 2022,February 17 2022,BRONX,11611,testadmin
Help NYC Veterans,"On Thursday, April 21st our partners at America Works, and HRA Food Stamp Nutrition and Outreach Program (FSNOP) will be on-site at the Mayor’s Office of Veterans’ Affairs (MOVA) 346 Broadway, Room 817 to assist veterans seeking employment and apply for Food Stamps.",Helping Neighbors in Need,NYC Service,onetime,April 21 2022,April 21 2022,MANHATTAN,12076,testadmin
Seeds in the Middle - Soccer Registration Administrator,"We are looking for an individual to help with registration and outreach for our soccer programming.  Tasks include administrative duties, data entry, emails and calls, and designing flyers.",Strengthening Communities,Up2Us,ongoing,March 14 2022,June 1 2022,BROOKLYN,17615,testadmin
Storytelling for Professionals,A compelling story is vital to almost every successful communication product. Well-told short stories enable an organization to get messages across to the public and supporters in an engaging and accessible manner.,Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Friendly Visitor for Older Adults,Looking for an Older Adult Friendly Visitor who can provide general companionship and general assistance to seniors in the community.,Helping Neighbors in Need,Carter Burden Center for the Aging,ongoing,September 20 2022,September 19 2023,MANHATTAN,10092,testadmin
Communications Materials Review for Professionals,"he focus of this project is to review an organization's existing media and communications documents and ensure that an organization's message is delivered effectively via marketing materials, organization background documents, presentations, speeches, photos, videos, and more.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Video Editing for Professionals,"Video is a powerful medium. It helps an organization tell engaging stories, bring attention to a cause, and communicate its value and effectiveness to a wide audience",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Event Publicity for Professionals,"Event publicity generates buzz about an organization's event. Publicity can increase numbers of attendees traditionally, by reaching out to media for coverage in advance of the event, and directly, through social media.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Personal Shopper,Personal Shoppers work one-on-one with Dress for Success clients to help select their interview suit. Personal shopping is a wonderful way to boost women’s confidence and make a direct impact on our clients’ lives.,Helping Neighbors in Need,Dress for Success - Bronx Branch,ongoing,August 10 2022,January 1 2023,BRONX,10931,testadmin
Queens-Fitness Instructor for Shape Up NYC,"Yoga instructor needed at Roy Wilkins Recreation Center in Jamaica, Queens.",Health,New York City Department of Parks & Recreation,ongoing,February 17 2022,June 17 2023,MANHATTAN,12426,testadmin
August Movie Event volunteers needed in Queens,"Volunteers at this event will make popcorn, paint faces, and lead games.  The movies will be shown in the Far Rockaway Beach area of Queens.",Strengthening Communities,New York City Department of Parks & Recreation,ongoing,August 7 2022,August 14 2022,QUEENS,24014,testadmin
Volunteer at Back to School Event-Queens,"Join other volunteers for a back to school event in Forest Park, Queens.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,September 6 2022,September 6 2022,QUEENS,24011,testadmin
Motion Graphics Video for Professionals,"A motion graphics video offers a simple, visually engaging way to introduce an organization to a wider audience. Unlike traditional video, a motion graphics focuses on visual content or still images, so there is no need for a film shoot.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Row New York Afterschool Volunteer Tutor for Middle School,"Volunteer your time to work alongside an all-girls, middle school rowing team, helping them succeed in academics during after-school time.",Education,Up2Us,ongoing,March 1 2022,April 1 2022,QUEENS,16858,testadmin
Computer Teacher,"Teacher of Basic Computer Skills such as browsing, MS word, Excel, etc.",Helping Neighbors in Need,Greater Chinatown Community Association,ongoing,April 11 2022,April 10 2023,MANHATTAN,12076,testadmin
Garden Crew,Help care for our vegetable garden beds where all our produce will be donated to local food pantries.,Environment,Friends of Van Cortlandt Park,ongoing,July 7 2022,August 25 2022,BRONX,11272,testadmin
Apartment Building Recycling Initiative,Promote recycling in your apartment building!,Environment,New York City Department of Sanitation,ongoing,June 13 2022,June 12 2023,MANHATTAN,11726,testadmin
Crowdfunding for Professionals,"Crowdfunding is people pooling their money together, usually via the Internet, to support an idea or effort initiated by a person or organization. Crowdfunders can build up and nurture a community of like-minded individuals who genuinely want to see one another succeed.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Volunteer at CMA's Annual Family Benefit,"Volunteers needed for our exciting Family Benefit at Webster Hall, May 22, 2011!",Strengthening Communities,Children's Museum Of The Arts,onetime,May 22 2022,May 22 2022,MANHATTAN,12076,testadmin
Vision and Mission Analysis for Professionals,"A vision and mission analysis helps an organization identify how it wants to change the world, who it wants to serve, and how it will accomplish its goals. Organizations often revise their vision, mission, and aspirations at strategic milestones such as new leadership.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Fundraising Inern,"ARTs East New York Inc. is looking for open-minded, motivated volunteer with an interest in the arts and community development to further the mission of our organization. Volunteer should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Strengthening Communities,ARTs East New York Inc.,ongoing,February 28 2022,February 10 2023,BROOKLYN,17214,testadmin
Dance/Drama Instructor,"We are seeking an instructor for our youth dance/drama workshop. Mon and Wed 3p-5p. The students will be conducting a production of ""The Wiz"". Instructor will be responsible for creating all lesson plans and reports.   ARTs East New York Inc.  artseastny.com",Education,ARTs East New York Inc.,ongoing,July 10 2022,August 24 2022,BROOKLYN,17214,testadmin
Youth Service Day: Neighborhood Festival 2011,Join KHCC and Horace Mann High School for a celebration of service learning!,Education,Kingsbridge Heights Community Center (KHCC),onetime,April 16 2022,April 16 2022,BRONX,11272,testadmin
Red Hook Family Festival,Public event for families with crafts and activities,Strengthening Communities,"The Puppetry Arts Theatre, Inc",onetime,May 7 2022,May 7 2022,BROOKLYN,13514,testadmin
Google Adwords Plan for Professionals,"This plan helps an organization determine how to spend its advertising dollars and manage this program. This project involves keyword research, ad copywriting, and account optimization guidelines.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Boys Scout Leader,Oversee our boys scout on saturdays as a troup leader,Strengthening Communities,Project Mentor Development Council Inc.,ongoing,September 10 2022,September 10 2023,BROOKLYN,13516,testadmin
World Cares Center Annual Volunteer Recruitment Event,"We empower communities by training volunteers to prepare and respond to disasters. On 6/22/11, we will host an info session at our office where we are asking anyone interested in service to learn more about volunteer opportunities at WCC. Everyone has something to contribute.",Emergency Preparedness,World Cares Center,ongoing,April 18 2022,April 17 2023,MANHATTAN,12080,testadmin
Overnight Night Volunteer,"The Olivieri Drop-In Center participates in the Emergency Shelter Network Respite Bed Program, a network of volunteer-run emergency respite sites hosted by various Congregations and community organizations throughout New York City.",Helping Neighbors in Need,The Olivieri Drop In Center for Men and Women,ongoing,April 12 2022,April 11 2023,MANHATTAN,12080,testadmin
Volunteer Program Volunteer,NYAWC is seeking a volunteer to assist our Administration department with our busy office.,Strengthening Communities,New York Asian Women's Center,ongoing,August 16 2022,March 6 2023,MANHATTAN,11725,testadmin
Volunteer to teach ESL students in Chinatown!,"CVM AmeriCorps’ English Language Literacy program offers free ESL classes to adult learners in the Chinatown and LES community. We currently have four classes - Beginner 1,Beginner 2, Intermediate, and Advanced Conversation. Our classes run on a Monday to Thursday schedule, from 6:30 – 8:30pm.",Helping Neighbors in Need,Pace University Community & Volunteer Mobilization AmeriCorps,ongoing,July 25 2022,June 19 2023,MANHATTAN,11728,testadmin
GED Math/Humanities Tutor,"Pre-GED/GED Literacy and/or Math tutoring. Experience highly desirable but not essential. Proven ability to manage learners. Strong organizational, computer, verbal (oral and written) math, communication skills. Commitment to caring and helping others.",Helping Neighbors in Need,The HOPE Program,ongoing,March 23 2022,March 21 2023,BROOKLYN,16865,testadmin
Volunteer at Summer Outdoor Movie Nights-Queens,"This opportunity is located in Little Bay Park, Fort Totten.  The dates are August 16, 23, and 30 at 8pm.  Volunteers are needed for the following special events: singers, clowns, magicians, arts & crafts.",Strengthening Communities,New York City Department of Parks & Recreation,ongoing,August 16 2022,August 30 2022,QUEENS,24011,testadmin
Step Team Instructor,The PAL BBC Steppers Step team program seeks an instructor available on Wednesday from 5:00pm – 7:30pm and Saturday mornings from 11:00 am – 1:00 pm. The BBC Steppers will consist of about 20 middle school and teen participants with or without formal experience in stepping.,Health,Police Athletic League Of New York,ongoing,October 3 2022,January 31 2023,BROOKLYN,17614,testadmin
Audience support,"Help pass out programs, serve food to performers, support audience members.",Strengthening Communities,"The Puppetry Arts Theatre, Inc",ongoing,June 11 2022,June 12 2022,BROOKLYN,16865,testadmin
Nonprofit Development - Public Relations,Help our nonprofit tell its story,Strengthening Communities,"Going Coastal, Inc.",ongoing,April 8 2022,April 7 2023,BROOKLYN,13514,testadmin
Give the Gift of Bicycling!,"Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Strengthening Communities,Bike New York,ongoing,September 6 2022,October 15 2022,MANHATTAN,12421,testadmin
Events Coordinator,"ARTs East New York Inc. is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Strengthening Communities,ARTs East New York Inc.,ongoing,February 28 2022,February 10 2023,BROOKLYN,17214,testadmin
Volunteer for NYLAG's Food Stamps Project,"Volunteers needed to file for fair hearings, do client advocacy and screen clients for food stamps.",Helping Neighbors in Need,New York Legal Assistance Group,ongoing,August 16 2022,November 15 2023,MANHATTAN,11726,testadmin
Girl Scout Series - East Harlem,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Strengthening Communities,Girl Scouts NYC,ongoing,September 19 2022,December 12 2022,MANHATTAN,12426,testadmin
Undergraduate and Graduate Students  Fall/Spring Interns wanted to work with Class Wish,We are recruiting outstanding undergraduate and graduate students as interns for the 2011-2012 school year to collaborate on the boldest nonprofit initiative we know.,Education,ClassWish,ongoing,August 29 2022,June 28 2023,MANHATTAN,11722,testadmin
We Promote Knowledge & Love: Parade Day in Harlem,"Join one of The Laundromat Project's teaching artists Shani Peters and support this community interactive, social practice art project.  It’s easy; put on a sandwich board, grab a stack of flyers, and spread KNOWLEDGE and LOVE throughout Harlem!",Strengthening Communities,The Laundromat Project,onetime,September 18 2022,September 18 2022,MANHATTAN,13095,testadmin
Iridescent Science Studio Open House Volunteers,"Come out to the South Bronx to help us hold our first open house! We need volunteers to help staff the event and run educational exhibit tables. Help us express a love of learning, science, and engineering to the community in the poorest congressional district in the country.",Strengthening Communities,Iridescent,onetime,April 13 2022,April 13 2022,BRONX,12343,testadmin
CEO Expert Advice for Professionals,"This project gives you the rare opportunity to meet with a seasoned CEO of a successful for-profit company that has at least $1,000,000 in annual revenue. You must be the Executive Director, or equivalent, of an organization to be eligible for this project.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
"Divert Clothing & Textiles From the Landfill, Neighborhood Greenmarket Textile Recycling Drive",Volunteers are needed to help divert clothing and textile waste from the landfill at our textile recycling drive!  Help out your community and enjoy a day outside as you receive bags of textiles and help load the collection truck at the end of the day.,Environment,Office of Recycling Outreach and Education,ongoing,September 10 2022,November 2 2022,MANHATTAN,11728,testadmin
iMentor: We Need More Male Mentors,Join over a thousand professionals in NYC who mentor teens from underserved communities. Most of them had never served as mentors before joining but iMentor’s flexible and supportive mentoring model gave them the opportunity and confidence to try.,Education,iMentor,ongoing,August 3 2022,August 30 2022,MANHATTAN,11726,testadmin
Make a difference for the LGBTQ community of Queens!,"Queens Pride House, the Lesbian, Gay, Bisexual, Trans, Queer/Questioning center of Queens is seeking volunteers in a variety of roles.  Join us for our next orientation session, February 25th at 6:30 to get more involved! For more information: http://queenspridehouse.org/volunteer-opportunities",Strengthening Communities,Queens Pride House,ongoing,February 5 2022,February 5 2023,QUEENS,14783,testadmin
Website CMS Conversion Coordinator,The BCA is currently in need for an individual to rewrite and convert our current Content Management Software to a more functional CMS (possible Drupal),Strengthening Communities,BCA,onetime,September 2 2022,September 2 2022,MANHATTAN,12078,testadmin
Brand Identity for Professionals,"Creating a brand identity will explore an organization's history, values, vision, mission, and key stakeholders.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Writing Tutor,Help middle school students improve their writing skills.,Education,"""I Have a Dream"" Foundation - NY: Ravenswood Program",ongoing,January 24 2022,May 24 2022,QUEENS,16863,testadmin
Inspire NY Recycling at Summer Streets 2011!,"Come enjoy the green summer experience of Park Avenue closed to car traffic for 7 miles, and help us save massive heaps of recyclable materials from going into landfills and incinerators! Volunteers are needed to run our recycling game and help monitor event recycling.",Environment,Office of Recycling Outreach and Education,ongoing,August 6 2022,August 20 2022,MANHATTAN,11728,testadmin
Strategic Marketing Plan for Professionals,An effective marketing plan addresses an organization's medium to long term goals by leveraging limited resources to achieve maximum impact.,Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Marketing Intern,"Live Out Loud is looking for a marketing intern to help promote programs for LGBT (lesbian, gay, bisexual, and transgender) youth!",Strengthening Communities,Live Out Loud - Volunteers,ongoing,September 14 2022,September 13 2023,MANHATTAN,12080,testadmin
Fitness Instructor for Seniors,"Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",Health,Metropolitan Council on Jewish Poverty,ongoing,September 1 2022,December 31 2023,MANHATTAN,12078,testadmin
Board Secretary,"The secretary will be responsible for taking meeting minutes, filing and managing correspondences among board members, staff and volunteers.",Strengthening Communities,Family and Community Support Services,ongoing,April 12 2022,April 11 2023,BROOKLYN,17615,testadmin
Newsletter Writer/Editor,Big Apple Greeter is looking for a volunteer to handle the writing and production of quarterly online newsletter.,Strengthening Communities,Big Apple Greeter,ongoing,February 10 2022,February 10 2023,MANHATTAN,11728,testadmin
Croton Trail Volunteer Day,Help with a forest restoration project along the Old Croton Aqueduct Trail of Van Cortlandt Park,Strengthening Communities,Friends of Van Cortlandt Park,onetime,October 22 2022,October 22 2022,BRONX,11272,testadmin
"Back to School event in Little Bay Park, Queens","Volunteers are needed for a Back to School event in Little Bay Park, Queens, in the following areas:singers, clowns, magicians, arts and crafts.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,September 10 2022,September 10 2022,QUEENS,24011,testadmin
FPCJ Summer Worship Arts Camp,"Volunteers are needed to assist with FPCJ Summer Worship Arts Camp which will take place from Monday, August 8th-Friday, August 12th from 9 AM-12 PM.",Strengthening Communities,First Jamaica Community Urban Development Corporation,ongoing,August 8 2022,August 12 2022,QUEENS,24340,testadmin
